keyword,intent,page_type,target_city_zip,status,priority,notes
sell home westerville ohio 2026,seller,blog,westerville,published,high,Already exists as blog post
1 percent commission vs 3 percent ohio,seller,comparison,ohio,published,high,Comparison page exists
closing costs columbus ohio seller,seller,blog,columbus,published,high,Blog post exists
first time homebuyer buyer support program ohio,buyer,blog,columbus,published,high,Blog post exists
fsbo vs realtor columbus ohio,seller,blog,columbus,published,high,Blog post exists
home staging tips columbus ohio,seller,blog,columbus,published,medium,Blog post exists
seller preparation benefits ohio,seller,blog,columbus,published,medium,Blog post exists
central ohio housing market 2026,seller,blog,columbus,published,high,Blog post exists
how much save 1 percent commission,seller,blog,columbus,published,medium,Blog post exists
why agents leaving traditional brokerages,agent,blog,ohio,published,low,Blog post exists
flat fee mls vs full service ohio,seller,comparison,ohio,published,high,Comparison page exists
fsbo vs full-service listing ohio,seller,comparison,ohio,published,high,New comparison page
brokerage model vs full service ohio,seller,comparison,ohio,published,medium,Comparison page exists
best time sell home columbus ohio 2026,seller,blog,columbus,draft,high,Seasonal relevance
columbus ohio real estate market spring 2026,seller,blog,columbus,draft,high,Market update
westerville school district home values,buyer,blog,westerville,draft,medium,School district focus
olentangy schools homes for sale,buyer,blog,lewis-center,draft,medium,Powell/Lewis Center focus
new albany ohio real estate market,seller,blog,new-albany,draft,medium,City-specific market
dublin ohio homes for sale 2026,buyer,blog,dublin,draft,medium,City-specific content
how negotiate buyer agent commission ohio,buyer,blog,ohio,draft,high,Topical post-NAR settlement
seller closing costs ohio breakdown,seller,blog,ohio,draft,high,Detailed guide
home inspection checklist ohio buyers,buyer,blog,ohio,draft,medium,Buyer guide
what does seller preparation cover,seller,blog,ohio,draft,medium,FAQ expansion
how price your home correctly ohio,seller,blog,ohio,draft,high,Pricing strategy
first time buyer mistakes avoid columbus,buyer,blog,columbus,draft,medium,First-time buyer guide
appraisal gap coverage columbus ohio,buyer,blog,columbus,draft,medium,Offer strategy
earnest money deposit ohio explained,buyer,blog,ohio,draft,low,Buyer education
seller disclosure ohio requirements,seller,blog,ohio,draft,medium,Legal guide
moving from california to columbus ohio,buyer,blog,columbus,draft,low,Relocation content
columbus ohio neighborhoods compared,buyer,blog,columbus,draft,medium,Neighborhood guide
worthington ohio real estate market,seller,blog,worthington,draft,medium,City-specific
gahanna ohio homes market update,seller,blog,gahanna,draft,medium,City-specific
powell ohio real estate 2026,seller,blog,powell,draft,medium,City-specific
hilliard ohio homes for sale,buyer,blog,hilliard,draft,medium,City-specific
sunbury ohio real estate market,seller,blog,sunbury,draft,low,City-specific
lewis center ohio homes 2026,buyer,blog,lewis-center,draft,medium,City-specific
