IssueID,Severity,Category,URL,Viewport,ReproSteps,Selector,HTMLSnippet,Screenshot,ConsoleErrors,NetworkFailures,RepoFiles,ExactFix,GSC/AdsRisk,Guardrails,VerificationSteps,RollbackPlan
ISS-001,High,SEO/Indexing,https://tdrealtyohio.com/sellers.html,Both,"View source, note canonical uses .html but internal links use /path/",link[rel=canonical],"<link rel=""canonical"" href=""https://tdrealtyohio.com/sellers.html"">",N/A,None,None,"sellers.html:11, buyers.html:11, contact.html:11 + 7 more",Update canonical URLs to use /path/ format,SAFE-WITH-STEPS,"Ensure 301 redirects exist, update sitemap","Check canonicals, verify redirects, submit sitemap to GSC",Revert canonical tags to .html format
ISS-002,High,SEO/Indexing,https://tdrealtyohio.com/sitemap.xml,Both,"View sitemap.xml, note URLs use .html extension",loc elements,"<loc>https://tdrealtyohio.com/sellers.html</loc>",N/A,None,None,sitemap.xml:11-157,Update all sitemap URLs to /path/ format without .html,SAFE-WITH-STEPS,All URLs must return 200 and match canonicals,"Validate XML, test URLs, submit to GSC",Restore original sitemap.xml
ISS-003,Medium,SEO/Indexing,https://tdrealtyohio.com/sitemap.xml,Both,Compare sitemap vs discovered routes,N/A,N/A,N/A,None,None,sitemap.xml,Sitemap appears complete. 404.html correctly excluded.,SAFE,N/A,Compare against routes.json,N/A
ISS-004,Medium,Content/Trust,All pages,Both,"Check og:image meta tag, verify file exists",meta[property=og:image],"<meta property=""og:image"" content=""https://tdrealtyohio.com/assets/images/og-default.jpg"">",N/A,None,Potential 404,All HTML files,Verify og-default.jpg exists at correct path,SAFE,Image should be 1200x630px,Test URL and use social debuggers,N/A
ISS-005,Medium,Accessibility,https://tdrealtyohio.com/home-value/,Both,Check form label associations,label.form-label,"<label for=""name"" class=""form-label"">Name *</label>",N/A,None,None,home-value.html:163-184,Labels correctly associated. No fix needed.,SAFE,N/A,Run axe-core audit,N/A
ISS-006,Low,Functionality,https://tdrealtyohio.com/home-value/,Both,Form lacks novalidate attribute,#home-value-form,"<form id=""home-value-form"" action=""https://formspree.io/f/mykkypyd"">",N/A,None,None,home-value.html:159,Add novalidate attribute for consistent custom validation,SAFE,Custom JS must handle all validation,Test form with empty fields,Remove novalidate
ISS-007,Low,Accessibility,https://tdrealtyohio.com/areas/,Both,Check tab ARIA attributes,.community-tabs button,"<button class=""community-tab"" role=""tab"" aria-selected=""true"">",N/A,None,None,areas/index.html:119-138,Add role=tabpanel to content panels,SAFE,Maintain keyboard accessibility,Test with screen reader,N/A
ISS-008,Medium,SEO/Indexing,https://tdrealtyohio.com/buyers/,Both,View source for duplicate FAQPage schemas,script[type=application/ld+json],Multiple FAQPage schemas,N/A,None,None,"buyers.html:76-123, 790-845",Consolidate into single FAQPage schema,SAFE,Validate with Rich Results Test,"Test schema, monitor GSC",Keep both schemas
ISS-009,Low,Performance,https://tdrealtyohio.com/,Both,Check manifest.json reference,link[rel=manifest],"<link rel=""manifest"" href=""/manifest.json"">",N/A,Potential 404,None,index.html:34,Verify manifest.json exists or create it,SAFE,"Include name, icons, theme_color",Test manifest.json URL,Remove manifest link
ISS-010,High,Ads/Conversion,All pages,Both,Google Ads tag present with ID AW-17866418952,script[src*=googletagmanager],"<script async src=""https://www.googletagmanager.com/gtag/js?id=AW-17866418952"">",N/A,None,None,All HTML files,Properly implemented. Add conversion events for forms/calls.,SAFE,Do not modify tag ID,Use Tag Assistant,N/A
ISS-011,High,Ads/Conversion,All pages,Both,Phone clicks not tracked for conversions,a[href^=tel:],"<a href=""tel:6143928858"">",N/A,None,None,assets/js/main.js,Add gtag conversion event for phone clicks,SAFE,Requires conversion label from Google Ads,"Set up conversion, add handler, test",Remove onclick handler
ISS-012,Medium,Ads/Conversion,"/contact/, /home-value/, /agents/, /referrals/",Both,Form submissions not tracked,form[action*=formspree],"<form id=""contact-form"">",N/A,None,None,assets/js/main.js:327-376,Add gtag event on successful form submission,SAFE,Only fire on response.ok,Test submission and check GA4,Remove gtag call
